Region,Country,Rep
Africa,Algiers,DZA 
Africa,Egypt,EGY   
Africa,Ethiopia,ETH  
Africa,Ghana,GHA 
Africa, Kenya,KEN  
Africa,Libyan Arab Jamahiriya,LBY   
Africa,Morocco,MAR   
Africa,Madagascar,MDG   
Africa,Senegal,SEN  
Africa,Tunisia,TUN   
Africa,South Africa,ZAF  
Africa,Zimbabwe,ZWE   
Asia,United Arab Emirates,ARE  
Asia,Bangladesh,BGD
Asia,China,CHN 
Asia,India,IND
Asia, Iran,IRN
Asia, Japan,JPN
Asia,Kazakhstan,KAZ
Asia,Korea,KOR 
Asia,Kuwait,KWT
Asia,Sri Lanka,LKA
Asia,Macau,MAC
Asia,Maldives,MDV
Asia,Mongolia,MNG
Asia,Nepal,NPL
Asia,Pakistan,PAK
Asia,Korea,PRK
Asia,Russian Federation,RUS
Asia,Saudi Arabia,SAU
Asia,Thailand,THA
Asia,Taiwan,TWN
Asia,Uzbekistan,UZB
Asia,Viet Nam,VNM
South America,Argentina,ARG  
South America,Bolivia,BOL  
South America,Brazil,BRA  
South America,Chile,CHL   
South America,Columbia,COL 
South America,Ecuador,ECU   
South America,Peru,PER  
South America,Paraguay,PRY  
South America, Uruguay,URY  
South America,Venezuela,VEN   
North and Central America,Belize,BLZ
North and Central America,Canada,CAN  
North and Central America, Cuba,CUB 
North and Central America,Guatemala,GTM  
North and Central America,Honduras,HND  
North and Central America,Mexico,MEX  
North and Central America,Martinique,MTQ  
North and Central America,Nicaragua,NIC 
North and Central America,Puerto Rico,PRI  
North and Central America,El Salvador,SLV  
North and Central America,USA,USA  
North and Central America,Virgin Islands (U.S.),VIR  
Southwest Pacific,Australia,AUS 
Southwest Pacific,Brunei Darussalam,BRN 
Southwest Pacific,Fiji,FJI
Southwest Pacific,Guam,GUM
Southwest Pacific,Marshall Islands,MHL
Southwest Pacific,Malaysia,MYS
Southwest Pacific,New Zealand,NZL
Southwest Pacific,Philippines,PHL
Southwest Pacific,Palau,PLW
Southwest Pacific,Singapore,SGP
Southwest Pacific,United States Minor Outlying Islands,UMI 
Europe,Austria,AUT 
Europe,Belgium,BEL 
Europe,Bulgaria,BGR
Europe,Bosnia and Herzegowina,BIH
Europe,Belarus,BLR
Europe,Switzerland,CHE
Europe,Cyprus,CYP
Europe,Czech Republic,CZE
Europe,Germany,DEU
Europe,Denmark,DNK
Europe,Spain,ESP
Europe,Finland,FIN
Europe,France,FRA
Europe,United Kingdom,GBR
Europe, Greece,GRC
Europe,Hungary,HUN
Europe, Ireland,IRL
Europe, Iceland,ISL
Europe, Israel,ISR
Europe, Italy,ITA
Europe,Lithuania,LTU
Europe, Netherlands,NLD
Europe, Norway,NOR
Europe,Poland,POL
Europe,Portugal,PRT
Europe,Romania,ROU
Europe, Russian Federation,RUS
Europe,Serbia,SRB
Europe,Slovakia (Slovak Republic),SVK
Europe,Slovenia,SVN
Europe,Sweden,SWE
Europe, Syrian Arab Republic,SYR
Europe,Turkey,TUR
Europe,Ukraine,UKR
