Country,Time,PopMale,PopFemale,PopTotal,PopDensity
Afghanistan,2020,19976.265,18952.076,38928.341,59.626999999999995
Albania,2020,1464.714,1413.086,2877.8,105.029
Algeria,2020,22153.807999999997,21697.235,43851.043,18.410999999999998
American Samoa,2020,,,55.196999999999996,275.985
Andorra,2020,,,77.265,164.394
Angola,2020,16260.87,16605.398,32866.268,26.363000000000003
Antigua and Barbuda,2020,47.269,50.659,97.928,222.56400000000002
Argentina,2020,22049.146,23146.631,45195.777,16.515
Armenia,2020,1393.747,1569.487,2963.2340000000004,104.083
Aruba,2020,50.641999999999996,56.123999999999995,106.766,593.144
Australia,2020,12698.625,12801.256000000001,25499.881,3.319
Austria,2020,4439.691,4566.709,9006.4,109.289
Azerbaijan,2020,5064.664000000001,5074.5109999999995,10139.175,122.664
Bahrain,2020,1100.474,601.109,1701.5829999999999,2238.925
Bangladesh,2020,83259.108,81430.275,164689.383,1265.187
Barbados,2020,139.084,148.287,287.371,668.305
Belarus,2020,4399.367,5049.954000000001,9449.321,46.568999999999996
Belgium,2020,5744.335,5845.281,11589.616000000002,382.74800000000005
Belize,2020,197.761,199.86,397.621,17.432000000000002
Benin,2020,6054.2480000000005,6068.95,12123.198,107.51299999999999
Bermuda,2020,,,62.273,1245.46
Bhutan,2020,410.087,361.525,771.612,20.243
Bosnia and Herzegovina,2020,1606.609,1674.2060000000001,3280.815,64.33
Botswana,2020,1139.099,1212.526,2351.625,4.149
Brazil,2020,104435.78300000001,108123.62599999999,212559.40899999999,25.430999999999997
Brunei Darussalam,2020,226.987,210.49599999999998,437.483,83.014
Bulgaria,2020,3374.1209999999996,3574.324,6948.445,64.006
Burkina Faso,2020,10444.713,10458.565,20903.278000000002,76.40100000000001
Burundi,2020,5899.8640000000005,5990.9169999999995,11890.781,463.037
Cabo Verde,2020,279.117,276.871,555.988,137.96200000000002
Cambodia,2020,8162.424,8556.546999999999,16718.971,94.714
Cameroon,2020,13277.075,13268.788999999999,26545.863999999998,56.157
Canada,2020,18732.178,19009.979,37742.157,4.15
Cayman Islands,2020,,,65.72,273.83299999999997
Central African Republic,2020,2394.042,2435.722,4829.764,7.752999999999999
Chad,2020,8200.17,8225.689,16425.859,13.045
