,Country,GDP,PPP,Population,Population density,daily cases mean,daily cases max,lat,lng,education level,national flights,international flights,Mean_Weather
0,Albania,5847.06,5847.06,2877.8,105.029,0.0,0.0,41.09417692307693,20.045953846153846,62.547760009765604,0.0,110.0,
1,Argentina,9730.91,9730.91,45195.777,16.515,0.0,0.0,-34.184776129032244,-63.93370258064519,79.986701965332,395.0,164.0,23.74833333333333
2,Armenia,4759.21,4759.21,2963.2340000000004,104.083,0.0,0.0,40.314125,44.810091666666665,43.3109016418457,0.0,299.0,
3,Aruba,26469.45,26469.45,106.766,593.144,0.0,0.0,12.5304,-70.029,17.0025901794434,2.0,470.0,
4,Australia,52952.27,52952.27,25499.881,3.319,3.2568181818181814,4.0,-30.06169311926604,140.47238761467887,86.5545501708984,0.0,50.0,24.029060279020776
5,Austria,51330.46,51330.46,9006.4,109.289,0.0,0.0,47.66742000000001,14.30087,80.3867874145508,6.0,1335.0,2.4223140495867765
6,Azerbaijan,4718.93,4718.93,10139.175,122.664,0.0,0.0,40.22210810810812,47.38414864864865,21.4404296875,0.0,418.0,
7,Bahrain,25507.49,25507.49,1701.5829999999999,2238.925,0.0,0.0,26.2361,50.5831,36.451358795166,0.0,1173.0,
8,Bangladesh,2067.54,2067.54,164689.383,1265.187,0.0,0.0,24.072831249999997,89.9763875,,903.0,804.0,20.946927374301676
9,Belarus,6744.24,6744.24,9449.321,46.568999999999996,0.0,0.0,53.604693333333344,27.80218666666666,91.0297698974609,,,1.3983333333333328
10,Belgium,45979.69,45979.69,11589.616000000002,382.74800000000005,1.0,1.0,50.69181999999999,4.581799999999999,72.3095703125,0.0,18.0,5.462777777777778
11,Belize,4978.34,4978.34,397.621,17.432000000000002,0.0,0.0,17.3522,-88.57064285714286,24.1847991943359,2.0,157.0,25.903225806451612
12,Bosnia and Herzegovina,6009.57,6009.57,3280.815,64.33,0.0,0.0,44.341883333333335,17.802183333333332,45.6279296875,0.0,45.0,3.0883333333333334
13,Botswana,8116.17,8116.17,2351.625,4.149,0.0,0.0,-22.345384000000003,24.910792,25.0077095031738,0.0,188.0,
14,Brazil,8955.65,8955.65,212559.40899999999,25.430999999999997,0.0,0.0,-15.552564341085258,-47.71376795865634,46.44657897949221,11918.0,1333.0,26.318955613577042
15,Brunei Darussalam,28396.71,28396.71,437.483,83.014,0.0,0.0,4.745075,114.71402499999999,,0.0,310.0,27.986666666666668
16,Bulgaria,10133.07,10133.07,6948.445,64.006,0.0,0.0,42.859214814814806,25.251518518518516,66.5383377075195,,,3.8122222222222213
17,Burkina Faso,757.613,757.613,20903.278000000002,76.40100000000001,0.0,0.0,12.226187878787876,-1.8238151515151513,4.7759099006652805,0.0,59.0,
18,Burundi,312.732,312.732,11890.781,463.037,0.0,0.0,-3.3318894736842104,29.789410526315798,4.40817022323608,0.0,75.0,
19,Canada,47931.46,47931.46,37742.157,4.15,1.4722222222222223,3.0,52.928436400000045,-91.94891119999997,,15515.0,8873.0,-8.503707224334605
20,Chile,15854.65,15854.65,19116.209,25.71,0.0,0.0,-34.80091190476192,-71.64710595238093,83.8164367675781,2.0,28.0,18.89600000000001
21,China,10872.5,10872.5,1439323.774,153.312,253.412735114348,16678.0,35.192323979591805,113.99095102040822,30.1620693206787,97250.0,16290.0,0.25146350783340027
