Country,city,lat,lng
Afghanistan,Aībak,36.261,68.04
Afghanistan,Balkh,36.7501,66.8997
Afghanistan,Bāmyān,34.8211,67.521
Afghanistan,Maīdān Shahr,34.3956,68.8662
Afghanistan,Tarīn Kōṯ,32.6333,65.8667
Afghanistan,Kōṯah-ye ‘As̲h̲rō,34.45,68.8
Afghanistan,Herāt,34.33,62.17
Afghanistan,Shibirghān,36.658,65.7383
Afghanistan,Khōst,33.3395,69.9204
Afghanistan,Qal‘ah-ye Now,34.983,63.1333
Afghanistan,Baghlān,36.1393,68.6993
Afghanistan,Mazār-e Sharīf,36.7,67.1
Afghanistan,Sharan,33.1757,68.7304
Afghanistan,Karukh,34.4868,62.5918
Afghanistan,Ghaznī,33.5633,68.4178
Afghanistan,Kandahār,31.61,65.6949
Afghanistan,Pul-e ‘Alam,33.9953,69.0227
Afghanistan,Lashkar Gāh,31.583,64.36
Afghanistan,Farāh,32.3917,62.0968
Afghanistan,Kabul,34.5167,69.1833
Afghanistan,Kunduz,36.728,68.8725
Afghanistan,Zarghūn Shahr,32.85,68.4167
Afghanistan,Gardēz,33.6001,69.2146
Afghanistan,Andkhōy,36.9317,65.1015
Afghanistan,Bāzārak,35.3129,69.5152
Afghanistan,Pul-e Khumrī,35.9511,68.7011
Afghanistan,Asadābād,34.866,71.15
Afghanistan,Fayrōz Kōh,34.5167,65.25
Afghanistan,Nīlī,33.7218,66.1302
Afghanistan,Mehtar Lām,34.65,70.1667
Afghanistan,Barakī Barak,33.9667,68.9667
Afghanistan,Qalāt,32.1123,66.8868
Afghanistan,Sar-e Pul,36.2154,65.9325
Afghanistan,Chārīkār,35.0183,69.1679
Afghanistan,Maīmanah,35.9302,64.7701
Afghanistan,Jalālābād,34.4415,70.4361
Afghanistan,Faīẕābād,37.1298,70.5792
Afghanistan,Pārūn,35.4206,70.9226
Afghanistan,Maḩmūd-e Rāqī,35.0167,69.3333
Afghanistan,Zaranj,31.112,61.887
Afghanistan,Tāluqān,36.73,69.54
Albania,Ersekë,40.3333,20.6833
Albania,Vlorë,40.4774,19.4982
Albania,Rrëshen,41.7833,19.8167
Albania,Pogradec,40.9,20.664
Albania,Korçë,40.6167,20.7667
Albania,Çorovodë,40.5167,20.2333
Albania,Pukë,42.0333,19.8833
Albania,Burrel,41.626,20.016
Albania,Tirana,41.3275,19.8189
Albania,Berat,40.71,19.972
Albania,Kukës,42.083,20.434
Albania,Shkodër,42.0685,19.5188
Albania,Krujë,41.519,19.797
Albania,Tepelenë,40.2833,20.0333
Albania,Elbasan,41.1215,20.0838
Albania,Gramsh,40.8667,20.2
Albania,Fier,40.73,19.573
Albania,Gjirokastër,40.079,20.149
Albania,Durrës,41.3178,19.4482
Albania,Lezhë,41.788,19.654
Albania,Sarandë,39.877,20
Albania,Peshkopi,41.6833,20.4333
Albania,Bajram Curri,42.3333,20.0833
Albania,Përmet,40.234,20.352
Albania,Lushnjë,40.94,19.716
Albania,Librazhd,41.2,20.3667
Algeria,Tamanrasset,22.785,5.5228
Algeria,Biskra,34.86,5.73
Algeria,Algiers,36.7631,3.0506
Algeria,Aïn Sefra,32.7604,-0.5799
Algeria,I-n-Amguel,23.6939,5.1647
Algeria,Bejaïa,36.7604,5.07
Algeria,Timimoun,29.2365,0.27
Algeria,Tlemcen,34.8904,-1.32
Algeria,El Tarf,36.7672,8.3138
Algeria,Skikda,36.8804,6.9
Algeria,Tindouf,27.6742,-8.1478
Algeria,Souk Ahras,36.2904,7.95
Algeria,Touggourt,33.1,6.06
Algeria,Abadla,31.0171,-2.7333
Algeria,Tipasa,36.5897,2.4475
Algeria,I-n-Amenas,28.0503,9.55
Algeria,Bordj Bou Arreridj,36.059,4.63
Algeria,Mila,36.4503,6.2644
Algeria,Aïn Defla,36.2641,1.9679
Algeria,Aïn Temouchent,35.2975,-1.1404
Algeria,Sidi Bel Abbès,35.1903,-0.64
Algeria,Relizane,35.7373,0.556
Algeria,Chlef,36.1704,1.32
Algeria,Tissemsilt,35.6072,1.8108
Algeria,Adrar,27.87,-0.29
Algeria,Laghouat,33.81,2.88
Algeria,Blida,36.4203,2.83
Algeria,Djanet,24.5529,9.4823
Algeria,Beni Ounif,32.0493,-1.2514
Algeria,Hassi Messaoud,31.7023,6.0545
Algeria,Mascara,35.4004,0.14
Algeria,Ghardaïa,32.49,3.67
Algeria,Médéa,36.2704,2.77
Algeria,Jijel,36.822,5.766
Algeria,Oran,35.71,-0.62
Algeria,El Oued,33.3704,6.86
Algeria,Ouargla,31.97,5.34
Algeria,M’Sila,35.7,4.545
Algeria,Oum el Bouaghi,35.85,7.15
Algeria,Khenchela,35.4358,7.1433
Algeria,Tébessa,35.4104,8.12
Algeria,Djelfa,34.68,3.25
Algeria,Guelma,36.466,7.428
Algeria,El Bayadh,33.6904,1.01
